artist_name,total_songs
"Taylor Swift",246
Drake,181
"Bad Bunny",121
"Morgan Wallen",117
"Justin Bieber",116
"The Weeknd",100
"Travis Scott",83
Eminem,78
"Playboi Carti",73
"Post Malone",71
"Ariana Grande",69
"Juice WRLD",62
"Rauw Alejandro",62
"Kendrick Lamar",59
"Ed Sheeran",59
"David Guetta",56
"Sabrina Carpenter",54
SZA,51
"One Direction",51
"Zach Bryan",50
"Fleetwood Mac",50
"Tyler, The Creator",50
"Kanye West",48
Radiohead,46
Gunna,45
Rihanna,44
"Imagine Dragons",44
USHER,43
"The Neighbourhood",43
"Fuerza Regida",42
"Peso Pluma",41
"Doja Cat",41
"Maroon 5",41
"Billie Eilish",40
"KAROL G",37
"Red Hot Chili Peppers",36
"Pink Floyd",36
"Frank Ocean",34
"Gracie Abrams",33
Coldplay,32
"Metro Boomin",32
"Alex Warren",32
Gorillaz,31
XXXTENTACION,29
"Bruno Mars",29
Laufey,28
"Chris Stapleton",28
"Lana Del Rey",28
"Twenty One Pilots",27
"Danny Ocean",27
2Pac,27
Beéle,26
"Harry Styles",25
"Tame Impala",25
"Olivia Dean",24
"Daddy Yankee",23
"Dr. Dre",23
"Olivia Rodrigo",23
"Cardi B",23
Adele,22
"TV Girl",22
Lorde,21
"Neton Vega",21
PARTYNEXTDOOR,21
"Tito Double P",21
"Billy Joel",21
"Don Toliver",20
"Cigarettes After Sex",19
"Luke Combs",18
Kesha,18
"Victor Mendivil",18
"The Beatles",17
Future,17
"Junior H",17
"James Arthur",17
"Nelly Furtado",17
"A$AP Rocky",17
"Omar Courtz",17
Pitbull,16
Veigh,16
"Henrique & Juliano",16
"Natanael Cano",16
"Shawn Mendes",16
Ozuna,16
"Empire Of The Sun",16
"21 Savage",16
"Ava Max",16
"Calvin Harris",15
RAYE,15
Hindia,15
Hozier,15
"System Of A Down",15
"Charli xcx",15
JENNIE,15
Kapo,15
"Limp Bizkit",15
"Tate McRae",14
"Noah Kahan",14
"Daft Punk",14
"Trippie Redd",14
"My Chemical Romance",14
"Chase Atlantic",14
"The Marías",14
"Chappell Roan",14
"Bryson Tiller",14
"J. Cole",13
Miguel,13
"The Goo Goo Dolls",13
"Mac DeMarco",13
"Childish Gambino",13
"Charlie Puth",13
"The Killers",12
"Saja Boys",12
HUNTR/X,12
"KPop Demon Hunters Cast",12
"Conan Gray",12
"Arctic Monkeys",12
"Ivan Cornejo",12
"Justin Timberlake",12
"The Chainsmokers",12
"Guns N' Roses",12
"Grupo Frontera",12
"Lewis Capaldi",12
ROSÉ,12
"Dua Lipa",11
"Jung Kook",11
Ikky,11
"Karan Aujla",11
"The Police",11
"Stray Kids",11
"Ravyn Lenae",11
sombr,10
AC/DC,10
Avicii,10
"Daniel Caesar",10
Deftones,10
"Teddy Swims",10
$uicideboy$,10
"Benson Boone",10
"Sleep Token",10
"Sam Smith",10
"Michael Jackson",9
"Rels B",9
"J Balvin",8
Jimin,7
Jin,7
